City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,paradip garh,20.3167,86.6167,28.98,83,86,5.94,IN,1690386913
1,atafu village,-8.5421,-172.5159,27.98,77,90,8.86,TK,1690386783
2,pitimbu,-7.4706,-34.8086,29.33,71,17,6.43,BR,1690386919
3,west island,-12.1568,96.8225,23.99,88,75,8.75,CC,1690386919
4,puerto boyaca,5.9758,-74.5885,31.81,57,31,1.37,CO,1690386919
5,longyearbyen,78.2186,15.6401,11.91,58,20,5.66,SJ,1690386920
6,ad dabbah,18.05,30.95,40.03,21,98,7.22,SD,1690386920
7,port elizabeth,-33.918,25.5701,17.16,72,0,2.57,ZA,1690386826
8,saint-francois,46.4154,3.9054,23.71,38,0,4.63,FR,1690386920
9,aykhal,66.0,111.5,16.22,67,100,4.3,RU,1690386920
10,labuan,5.2767,115.2417,27.2,88,20,0.0,MY,1690386920
11,albany,42.6001,-73.9662,28.27,74,4,0.89,US,1690386921
12,masterton,-40.9597,175.6575,4.94,94,61,1.84,NZ,1690386921
13,adamstown,-25.066,-130.1015,19.96,72,58,9.99,PN,1690386921
14,alice springs,-23.7,133.8833,13.75,62,100,0.0,AU,1690386921
15,utrik,11.2278,169.8474,28.11,81,100,8.21,MH,1690386921
16,glogovac,44.0397,21.3164,17.5,91,99,5.89,RS,1690386922
17,ribeira grande,38.5167,-28.7,24.22,78,40,4.63,PT,1690386922
18,ancud,-41.8697,-73.8203,8.55,80,100,2.05,CL,1690386923
19,kristiansund,63.1115,7.732,19.36,68,40,4.63,NO,1690386923
20,puerto natales,-51.7236,-72.4875,1.64,84,47,1.68,CL,1690386923
21,san patricio,28.017,-97.5169,34.97,43,0,4.35,US,1690386923
22,hawaiian paradise park,19.5933,-154.9731,22.8,97,100,2.06,US,1690386924
23,anadyr,64.75,177.4833,10.28,93,75,3.0,RU,1690386924
24,tiksi,71.6872,128.8694,3.04,92,47,1.49,RU,1690386924
25,port-aux-francais,-49.35,70.2167,4.98,85,98,19.23,TF,1690386924
26,tacna,-18.0056,-70.2483,15.5,72,100,2.06,PE,1690386924
27,waitangi,-43.9535,-176.5597,9.43,68,85,11.33,NZ,1690386924
28,geraldton,-28.7667,114.6,11.23,87,75,1.03,AU,1690386910
29,blackmans bay,-43.0167,147.3167,10.85,83,100,2.5,AU,1690386925
30,whitehorse,60.7161,-135.0538,13.78,100,75,0.0,CA,1690386693
31,seven pagodas,12.6264,80.1722,29.47,71,100,6.8,IN,1690386925
32,edinburgh of the seven seas,-37.0676,-12.3116,10.17,53,85,8.24,SH,1690386925
33,kodiak,57.79,-152.4072,11.73,94,100,1.54,US,1690386926
34,yorkton,51.2167,-102.4677,20.91,88,75,2.06,CA,1690386838
35,bethel,41.3712,-73.414,29.53,72,0,2.57,US,1690386926
36,maceio,-9.6658,-35.7353,27.69,61,40,4.12,BR,1690386926
37,bahar,34.9072,48.4414,33.09,11,20,3.09,IR,1690386926
38,kingston,17.997,-76.7936,32.91,64,20,2.57,JM,1690386646
39,collingwood,44.4834,-80.2164,29.34,66,100,4.44,CA,1690386927
40,hermanus,-34.4187,19.2345,13.22,84,82,4.68,ZA,1690386927
41,stanley,54.868,-1.6985,21.27,53,20,3.6,GB,1690386927
42,bredasdorp,-34.5322,20.0403,11.35,80,97,2.05,ZA,1690386927
43,upington,-28.4478,21.2561,20.21,32,0,6.69,ZA,1690386927
44,sinop,41.7711,34.8709,26.19,51,0,2.21,TR,1690386928
45,turpan,42.9333,89.1667,39.97,11,24,2.6,CN,1690386928
46,port mathurin,-19.6833,63.4167,23.72,80,7,5.73,MU,1690386928
47,nagqu,31.5,92.0,6.54,75,100,1.34,CN,1690386929
48,rodolfo sanchez taboada,31.7167,-116.5667,28.95,49,7,2.24,MX,1690386930
49,camana,-16.6228,-72.7111,19.44,74,25,4.11,PE,1690386930
50,hamilton,39.1834,-84.5333,32.34,68,0,6.17,US,1690386930
51,lagoa,39.05,-27.9833,22.0,81,0,5.14,PT,1690386931
52,thompson,55.7435,-97.8558,13.09,71,100,3.09,CA,1690386931
53,pawni,20.7833,79.6333,29.2,81,98,2.49,IN,1690386931
54,freising,48.4035,11.7488,16.47,76,20,5.66,DE,1690386931
55,weyburn,49.6668,-103.8511,23.12,35,59,4.12,CA,1690386718
56,lastoursville,-0.8143,12.7287,25.47,88,75,2.53,GA,1690386931
57,tazovsky,67.4667,78.7,18.46,71,63,4.04,RU,1690386932
58,happy valley-goose bay,53.3168,-60.3315,23.17,56,40,6.17,CA,1690386932
59,olonkinbyen,70.9221,-8.7187,4.95,93,100,5.11,SJ,1690386932
60,santiago de cuba,20.0247,-75.8219,31.06,66,40,3.09,CU,1690386933
61,new norfolk,-42.7826,147.0587,11.51,93,100,1.41,AU,1690386933
62,castillos,-34.1667,-53.8333,14.1,87,98,7.06,UY,1690386933
63,nar'yan-mar,67.6713,53.087,19.52,76,100,1.72,RU,1690386933
64,isafjordur,66.0755,-23.124,10.02,66,75,7.72,IS,1690386934
65,ushuaia,-54.8,-68.3,0.81,64,20,3.09,AR,1690386934
66,polyarnyy,69.1989,33.4478,11.1,92,99,2.03,RU,1690386934
67,el tigre,8.8875,-64.2454,26.05,79,81,3.02,VE,1690386934
68,kiunga,-6.1219,141.2906,22.17,96,100,1.11,PG,1690386934
69,avarua,-21.2078,-159.775,20.03,88,100,1.03,CK,1690386935
70,muromtsevo,56.3724,75.2418,17.9,71,99,0.28,RU,1690386935
71,minab,27.1467,57.0801,33.24,65,99,3.88,IR,1690386935
72,woodend,-43.3167,172.6667,6.08,75,100,4.71,NZ,1690386935
73,matthew town,20.95,-73.6667,30.61,69,47,8.62,BS,1690386935
74,la'ie,21.6477,-157.9253,25.98,77,60,6.53,US,1690386935
75,kokpekty,48.75,82.4,25.07,27,74,5.29,KZ,1690386936
76,jamestown,42.097,-79.2353,27.23,58,89,1.79,US,1690386825
77,puan,35.7281,126.7319,24.94,91,26,1.69,KR,1690386936
78,dudinka,69.4058,86.1778,22.57,69,0,3.98,RU,1690386936
79,east london,-33.0153,27.9116,17.52,72,0,2.06,ZA,1690386936
80,campo gallo,-26.5833,-62.85,20.64,44,35,5.07,AR,1690386936
81,grytviken,-54.2811,-36.5092,-1.53,86,85,5.28,GS,1690386937
82,kiruna,67.8557,20.2251,15.51,67,75,1.54,SE,1690386682
83,aasiaat,68.7098,-52.8699,3.39,86,52,3.78,GL,1690386937
84,dazuocun,24.8862,118.9643,28.32,86,100,17.78,CN,1690386937
85,invercargill,-46.4,168.35,5.61,89,94,12.37,NZ,1690386937
86,calvinia,-31.4707,19.776,9.29,80,79,2.71,ZA,1690386938
87,ukholovo,53.7929,40.4892,26.01,59,61,6.42,RU,1690386938
88,talnakh,69.4865,88.3972,22.34,58,62,1.31,RU,1690386938
